2025-08-14T11:45:43.591932 | 00001 | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T11:45:43.592007 | 00001 | MISSING_FILE: requirements/REQUIREMENTS_INDEX.md
2025-08-14T11:45:43.592021 | 00001 | MISSING_FILE: reality/REALITY_INDEX.md
2025-08-14T11:45:43.592028 | 00001 | MISSING_FILE: reconciliation/RECONCILIATION_INDEX.md
2025-08-14T11:45:43.592034 | 00001 | INVALID_DOMAIN_NAME: .claude
2025-08-14T11:49:56.105293 | 00001 | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T11:49:56.105325 | 00001 | MISSING_FILE: requirements/REQUIREMENTS_INDEX.md
2025-08-14T11:49:56.105334 | 00001 | MISSING_FILE: reality/REALITY_INDEX.md
2025-08-14T11:49:56.105341 | 00001 | MISSING_FILE: reconciliation/RECONCILIATION_INDEX.md
2025-08-14T11:49:56.105348 | 00001 | INVALID_DOMAIN_NAME: .claude
2025-08-14T12:40:46.454703 | CLI | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T12:40:46.455150 | CLI | MISSING_FILE: requirements/REQUIREMENTS_INDEX.md
2025-08-14T12:40:46.455199 | CLI | MISSING_FILE: reality/REALITY_INDEX.md
2025-08-14T12:40:46.455225 | CLI | MISSING_FILE: reconciliation/RECONCILIATION_INDEX.md
2025-08-14T12:40:46.455246 | CLI | INVALID_DOMAIN_NAME: .claude
2025-08-14T12:51:58.673556 | CLI | UNAUTHORIZED_DIRECTORY: unauthorized-directory
2025-08-14T12:51:58.673948 | CLI | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T12:51:58.673998 | CLI | MISSING_FILE: reality/REALITY_INDEX.md
2025-08-14T12:51:58.674043 | CLI | MISSING_FILE: reconciliation/RECONCILIATION_INDEX.md
2025-08-14T12:51:58.674080 | CLI | INVALID_INDEX_NAME: requirements/REQUIREMENTS_INDEX.md
2025-08-14T12:51:58.674105 | CLI | INVALID_DOMAIN_NAME: .claude
2025-08-14T12:57:57.444036 | CLI | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T12:57:57.444253 | CLI | INVALID_INDEX_NAME: reality/REALITY_INDEX.md
2025-08-14T12:57:57.444277 | CLI | INVALID_INDEX_NAME: requirements/REQUIREMENTS_INDEX.md
2025-08-14T12:57:57.444285 | CLI | INVALID_DOMAIN_NAME: .claude
2025-08-14T12:57:57.444292 | CLI | INVALID_INDEX_NAME: reconciliation/RECONCILIATION_INDEX.md
2025-08-14T12:58:15.041227 | CLI | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T12:58:15.041263 | CLI | INVALID_INDEX_NAME: reality/REALITY_INDEX.md
2025-08-14T12:58:15.041272 | CLI | INVALID_INDEX_NAME: requirements/REQUIREMENTS_INDEX.md
2025-08-14T12:58:15.041279 | CLI | INVALID_DOMAIN_NAME: .claude
2025-08-14T12:58:15.041287 | CLI | INVALID_INDEX_NAME: reconciliation/RECONCILIATION_INDEX.md
2025-08-14T13:47:02.651477 | CLI | UNAUTHORIZED_DIRECTORY: .claude
2025-08-14T13:47:02.651514 | CLI | INVALID_INDEX_NAME: reality/REALITY_INDEX.md
2025-08-14T13:47:02.651523 | CLI | INVALID_INDEX_NAME: requirements/REQUIREMENTS_INDEX.md
2025-08-14T13:47:02.651530 | CLI | INVALID_DOMAIN_NAME: .claude
2025-08-14T13:47:02.651537 | CLI | INVALID_INDEX_NAME: reconciliation/RECONCILIATION_INDEX.md
